,id,year,category,laureate_type,full_name,gender,birth_date,birth_city,birth_city_now,birth_country,birth_country_now,birth_continent,death_date,prize_share,prize,motivation,affiliation_1_name,affiliation_1_city,affiliation_1_country,affiliation_2_name,affiliation_2_city,affiliation_2_country,org_city_now,org_country_now,org_continent,affiliation_3_name,affiliation_3_city,affiliation_3_country,affiliation_4_name,affiliation_4_city,affiliation_4_country
72,998,2021,Physiology or Medicine,Individual,Ardem Patapoutian,male,1967-00-00,Beirut,Beirut,Lebanon,Lebanon,Asia,NaN,1/2,The Nobel Prize in Physiology or Medicine 2021,for their discoveries of receptors for temperature and touch,Scripps Research,"La Jolla, CA",USA,Howard Hughes Medical Institute,NaN,USA,,,,,,,,,
73,891,2013,Chemistry,Individual,Arieh Warshel,male,1940-11-20,Kibbutz Sde-Nahum,Kibbutz Sde-Nahum,British Mandate of Palestine,Israel,Asia,NaN,1/3,The Nobel Prize in Chemistry 2013,for the development of multiscale models for complex chemical systems,University of Southern California,"Los Angeles, CA",USA,,,,,,,,,,,,
74,490,1926,Peace,Individual,Aristide Briand,male,1862-03-28,Nantes,Nantes,France,France,Europe,1932-03-07,1/2,The Nobel Peace Prize 1926,for their crucial role in bringing about the Locarno Treaty,,,,,,,,,,,,,,,
75,208,1948,Chemistry,Individual,Arne Wilhelm Kaurin Tiselius,male,1902-08-10,Stockholm,Stockholm,Sweden,Sweden,Europe,1971-10-29,1,The Nobel Prize in Chemistry 1948,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",Uppsala University,Uppsala,Sweden,,,,,,,,,,,,
76,111,1978,Physics,Individual,Arno Allan Penzias,male,1933-04-26,Munich,Munich,Germany,Germany,Europe,2024-01-22,1/4,The Nobel Prize in Physics 1978,for their discovery of cosmic microwave background radiation,Bell Laboratories,"Holmdel, NJ",USA,,,,,,,,,,,,
77,960,2018,Physics,Individual,Arthur Ashkin,male,1922-09-02,"New York, NY","New York, NY",USA,USA,North America,2020-09-21,1/2,The Nobel Prize in Physics 2018,for the optical tweezers and their application to biological systems,Bell Laboratories,"Holmdel, NJ",USA,,,,,,,,,,,,
78,920,2015,Physics,Individual,Arthur B. McDonald,male,1943-08-29,"Sydney, Nova Scotia","Sydney, Nova Scotia",Canada,Canada,North America,NaN,1/2,The Nobel Prize in Physics 2015,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",Queen's University,Kingston,Canada,,,,,,,,,,,,
79,33,1927,Physics,Individual,Arthur Holly Compton,male,1892-09-10,"Wooster, OH","Wooster, OH",USA,USA,North America,1962-03-15,1/2,The Nobel Prize in Physics 1927,for his discovery of the effect named after him,University of Chicago,"Chicago, IL",USA,,,,,,,,,,,,
80,186,1929,Chemistry,Individual,Arthur Harden,male,1865-10-12,Manchester,Manchester,United Kingdom,United Kingdom,Europe,1940-06-17,1/2,The Nobel Prize in Chemistry 1929,for their investigations on the fermentation of sugar and fermentative enzymes,London University,London,United Kingdom,,,,,,,,,,,,
81,499,1934,Peace,Individual,Arthur Henderson,male,1863-09-13,Glasgow,Glasgow,Scotland,Scotland,Europe,1935-10-20,1,The Nobel Peace Prize 1934,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,,,,,,,,,,,,,,,
82,368,1959,Physiology or Medicine,Individual,Arthur Kornberg,male,1918-03-03,"Brooklyn, NY","Brooklyn, NY",USA,USA,North America,2007-10-26,1/2,The Nobel Prize in Physiology or Medicine 1959,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,Stanford University,"Stanford, CA",USA,,,,,,,,,,,,
83,119,1981,Physics,Individual,Arthur Leonard Schawlow,male,1921-05-05,"Mount Vernon, NY","Mount Vernon, NY",USA,USA,North America,1999-04-28,1/4,The Nobel Prize in Physics 1981,for their contribution to the development of laser spectroscopy,Stanford University,"Stanford, CA",USA,,,,,,,,,,,,
84,203,1945,Chemistry,Individual,Artturi Ilmari Virtanen,male,1895-01-15,Helsinki,Helsinki,Russian Empire,Finland,Europe,1973-11-11,1,The Nobel Prize in Chemistry 1945,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",University of Helsinki,Helsinki,Finland,,,,,,,,,,,,
85,722,2000,Physiology or Medicine,Individual,Arvid Carlsson,male,1923-01-25,Uppsala,Uppsala,Sweden,Sweden,Europe,2018-06-29,1/3,The Nobel Prize in Physiology or Medicine 2000,for their discoveries concerning signal transduction in the nervous system,Göteborg University,Gothenburg,Sweden,,,,,,,,,,,,
86,310,1920,Physiology or Medicine,Individual,Schack August Steenberg Krogh,male,1874-11-15,Grenå,Grenå,Denmark,Denmark,Europe,1949-09-13,1,The Nobel Prize in Physiology or Medicine 1920,for his discovery of the capillary motor regulating mechanism,Copenhagen University,Copenhagen,Denmark,,,,,,,,,,,,
87,475,1909,Peace,Individual,Auguste Marie François Beernaert,male,1829-07-26,Ostend,Ostend,Belgium,Belgium,Europe,1912-10-06,1/2,The Nobel Peace Prize 1909,for their prominent position in the international movement for peace and arbitration,,,,,,,,,,,,,,,
88,553,1991,Peace,Individual,Aung San Suu Kyi,female,1945-06-19,Rangoon,Yangon,Burma,Myanmar,Asia,NaN,1,The Nobel Peace Prize 1991,for her non-violent struggle for democracy and human rights,,,,,,,,,,,,,,,
